depot_id,seen_date_utc,manifest_id
2226283,"19 August 2025 18:14:42",3691247073315750068
2226283,"14 August 2025 19:21:19",1667107872466291867
2226283,"13 August 2025 19:06:42",5084162501424859386
2226283,"10 June 2025 17:58:43",9199065605303375081
2226283,"2 June 2025 17:20:23",2817238071018487176
2226283,"26 May 2025 21:23:38",8755208936006757139
2226283,"26 May 2025 19:34:23",7313060452487972838
2226283,"13 May 2025 17:16:55",616116375838942956
2226283,"1 May 2025 16:21:05",3820145233746744008
2226283,"22 April 2025 19:32:13",2118764693225205523
